-5 5.3755 3.0717 2.76367 300.0000	  -3.93
1 5.3755 3.0717 2.76367 300.0000	  -3.93
3 5.3755 3.0717 2.76367 300.0000	  -3.93
5 5.3755 3.0717 2.76367 300.0000	  -3.93
7 5.3755 3.0717 2.76367 300.0000	  -3.93
9 5.3755 3.0717 2.76367 300.0000	  -3.93
11 6.5751 3.7572 2.76427 300.0000	   1.92
13 6.5751 3.7572 2.76427 300.0000	   1.92
15 6.5751 3.7572 2.76427 300.0000	   1.92
17 6.5751 3.7572 2.76427 300.0000	   1.92
19 6.5751 3.7572 2.76427 300.0000	   1.92
21 6.5751 3.7572 2.76427 300.0000	   1.92
23 6.7708 3.7408 2.89622 300.0000	   2.7
25 6.7708 3.7408 2.89622 300.0000	   2.7
27 6.7708 3.7408 2.89622 300.0000	   2.7
29 6.7708 3.7408 2.89622 300.0000	   2.7
31 6.7708 3.7408 2.89622 300.0000	   2.7
33 6.7708 3.7408 2.89622 300.0000	   2.7
35 7.8544 4.5649 3.30161 4132.3799	   2.81
37 7.8446 4.5573 3.30068 3101.0976	   3.02
39 7.8509 4.5554 3.30376 2351.0175	   3.23
41 7.9130 4.5730 3.32025 1799.8889	   3.44
43 7.9023 4.5641 3.3191 1390.8410	   3.65
45 7.8928 4.5556 3.31822 1084.2563	   3.85
47 7.8828 4.5465 3.3173 852.3860	   4.06
49 7.8726 4.5372 3.31636 675.5030	   4.27
51 7.8554 4.5255 3.31393 539.4468	   4.48
53 7.8432 4.5149 3.31274 433.9656	   4.69
55 7.8312 4.5039 3.31161 351.5709	   4.9
57 7.8141 4.4910 3.30949 286.7417	   5.0
59 7.8003 4.4785 3.30821 235.3787	   5.0
61 7.7843 4.4649 3.30654 194.4138	   5.0
63 7.7670 4.4501 3.3048 161.5327	   5.0
65 7.7396 4.4317 3.30093 134.9773	   5.0
67 7.7244 4.4161 3.29996 113.4047	   5.0
69 7.7064 4.3988 3.29856 95.7815	   5.0
71 7.6844 4.3793 3.29652 81.3061	   5.0
73 7.6612 4.3586 3.29444 69.3536	   5.0
75 7.6214 4.3317 3.28905 59.4342	   5.0
77 7.6013 4.3093 3.28819 51.1622	   5.0
109 7.7748 4.3120 3.34124 39.5854	   5.0
111 7.7869 4.3174 3.34383 40.3034	   4.96
113 7.7985 4.3224 3.34637 41.0349	   4.87
115 7.8087 4.3271 3.34869 41.7801	   4.79
117 7.8191 4.3315 3.35098 42.5391	   4.7
119 7.8299 4.3362 3.35343 43.3123	   4.62
121 7.8400 4.3408 3.35566 44.1000	   4.54
123 7.8489 4.3449 3.35772 44.9023	   4.45
125 7.8602 4.3497 3.36027 45.7196	   4.37
